Field,Layer,Operator Class,Operator Name,Symbol,Definition
Dimensional,Layer-2,Intersection Operators,DimFusion,D10,"Merges two dimensional frames into one composite frame with unified coordinate basis."
Dimensional,Layer-3,Collapse Operators,DimCollapse,D11,"Reduces a multi-axis frame to a single dominant axis by eliminating redundant dimensions."
Dimensional,Layer-3,Collapse Operators,ProjectDown,D12,"Flattens a higher-dimensional frame into a lower-dimensional representation."
Intermediate,Transition,Bridge Operators,IntermediateBind,I0,"Creates a temporary linking node between two non-adjacent field operators."
Intermediate,Transition,Bridge Operators,HalfStep,I1,"Produces a partial resolution state that satisfies neither full synthesis nor null collapse."
Intermediate,Transition,Bridge Operators,MediationArc,I2,"Draws a directed arc between two poles through an intermediate mediating term."
Intermediate,Transition,Bridge Operators,RelayOp,I3,"Passes a tension signal through an intermediate node without transforming its valence."
Intermediate,Flux,Dynamic Operators,FluxCapture,I4,"Samples the instantaneous state of a transitioning operator for use as a stable input."
Intermediate,Flux,Dynamic Operators,TensionHold,I5,"Suspends a tension value in a held intermediate state pending external resolution trigger."
Intermediate,Flux,Dynamic Operators,OscillationDamp,I6,"Reduces periodic oscillation between two poles toward a stable intermediate equilibrium."
Intermediate,Flux,Dynamic Operators,TransientFork,I7,"Splits an intermediate state into two diverging branches for parallel evaluation."
Intermediate,Resolution,Convergence Operators,IntermediateSynth,I8,"Synthesizes a stable output from two or more held intermediate states."
Intermediate,Resolution,Convergence Operators,ConvergencePoint,I9,"Identifies and marks the coordinate at which diverging intermediate paths meet."
Intermediate,Resolution,Convergence Operators,ResolveIntermediate,I10,"Forces an intermediate state to finalize into either a synthesis pole or a void collapse."
Projection,Source,Emission Operators,ProjectionSource,P0,"Designates a pole or resolved triad as the origin of a projection sequence."
Projection,Source,Emission Operators,BeamDeclaration,P1,"Initiates a directed projection beam with specified polarity and target field."
Projection,Source,Emission Operators,EmissionVector,P2,"Assigns a directional vector to a projection, controlling its field trajectory."
Projection,Source,Emission Operators,SourceAmp,P3,"Amplifies the output intensity of a projection source by a scalar multiplier."
Projection,Channel,Routing Operators,ChannelBind,P4,"Binds a projection beam to a named channel for controlled routing through field layers."
Projection,Channel,Routing Operators,WaveguideOp,P5,"Constrains a projection to a specified path through dimensional frames."
Projection,Channel,Routing Operators,SplitBeam,P6,"Divides a single projection into multiple parallel beams with equal or weighted intensity."
Projection,Channel,Routing Operators,PhaseShiftOp,P7,"Adjusts the phase of a projection beam relative to a reference oscillation."
Projection,Target,Reception Operators,ProjectionReceive,P8,"Captures an incoming projection beam and registers it as an active input pole."
Projection,Target,Reception Operators,TargetBind,P9,"Anchors a received projection to a specific pole within the receiving triad."
Projection,Target,Reception Operators,LensOp,P10,"Focuses or defocuses a received projection beam to control its influence radius."
Projection,Target,Reception Operators,ReflectionOp,P11,"Returns a portion of the received projection back toward its source with modified polarity."
Distributed,Network,Topology Operators,NodeDeclare,Dist0,"Instantiates a named node within the distributed field network."
Distributed,Network,Topology Operators,EdgeBind,Dist1,"Creates a directed edge between two nodes, defining their relational channel."
Distributed,Network,Topology Operators,MeshWeave,Dist2,"Generates a fully-connected mesh topology across a specified set of field nodes."
Distributed,Network,Topology Operators,TopologyFreeze,Dist3,"Locks the current network topology, preventing further node or edge modifications."
Distributed,Propagation,Signal Operators,BroadcastOp,Dist4,"Emits a signal from one node to all directly connected nodes simultaneously."
Distributed,Propagation,Signal Operators,GossipProp,Dist5,"Propagates a signal through the network via iterative peer-to-peer relay."
Distributed,Propagation,Signal Operators,SignalDecay,Dist6,"Attenuates a propagating signal by a decay function over network distance."
Distributed,Propagation,Signal Operators,SyncPulse,Dist7,"Emits a synchronization pulse that aligns the state clocks of all receiving nodes."
Distributed,Consensus,Aggregation Operators,ConsensusGate,Dist8,"Produces a network-wide output only when a quorum of nodes reach matching states."
Distributed,Consensus,Aggregation Operators,WeightedMerge,Dist9,"Combines distributed node outputs into a single value using assigned node weights."
Distributed,Consensus,Aggregation Operators,ConflictResolve,Dist10,"Detects and resolves conflicting node states using a defined arbitration rule."
Distributed,Consensus,Aggregation Operators,PartitionHeal,Dist11,"Reconnects and re-syncs nodes separated by a network partition event."
Emergent,Seed,Genesis Operators,EmergenceSeed,E0,"Plants an initial conditions set from which emergent properties may self-organize."
Emergent,Seed,Genesis Operators,AttractorDeclare,E1,"Defines an attractor state toward which emergent system evolution will tend."
Emergent,Seed,Genesis Operators,SeedAmplify,E2,"Increases the generative potential of a seed state by increasing initial variance."
Emergent,Seed,Genesis Operators,CriticalPoint,E3,"Marks the threshold condition at which phase transition into emergent behavior begins."
Emergent,Self-Organization,Pattern Operators,PatternLock,E4,"Identifies and stabilizes a recurring self-organized pattern within the emergent field."
Emergent,Self-Organization,Pattern Operators,SymmetryBreak,E5,"Introduces an asymmetric perturbation to drive differentiation in an otherwise uniform field."
Emergent,Self-Organization,Pattern Operators,CascadeOp,E6,"Triggers a chain reaction of state changes propagating from a single emergent event."
Emergent,Self-Organization,Pattern Operators,FeedbackLoop,E7,"Connects an emergent output back to its own input, enabling self-reinforcing or self-correcting cycles."
Emergent,Stabilization,Homeostasis Operators,EquilibriumSeal,E8,"Locks an emergent system into its current equilibrium state, resisting further perturbation."
Emergent,Stabilization,Homeostasis Operators,HomeostaticBound,E9,"Sets upper and lower bounds on emergent system variance to maintain operational stability."
Emergent,Stabilization,Homeostasis Operators,ResilienceOp,E10,"Restores an emergent system to its attractor state following an external disturbance."
Emergent,Transcendence,Meta Operators,FieldTranscend,E11,"Elevates a fully resolved emergent state into a new field layer, seeding the next level of the canon."
Emergent,Transcendence,Meta Operators,CanonFold,E12,"Collapses the entire active RTT operator canon into a singular meta-resolution state."
Emergent,Transcendence,Meta Operators,RecursiveOrigin,E13,"Feeds the emergent output of the current canon cycle back into the Void ground layer as a new substrate."
